,1,1_noise_4,1_noise_0.25,1_shift_22050_-20,1_shift_22050_40,2,2_noise_4,2_noise_0.25,2_shift_22050_-20,2_shift_22050_40,3,3_noise_4,3_noise_0.25,3_shift_22050_-20,3_shift_22050_40
1,0.0,0.01390195045729056,0.019596403136739615,0.0017458410224757246,0.003044819892993318,0.0069821154569850805,0.01526801925976114,0.020483900269879195,0.006963360276441608,0.007376010952131096,0.00904729414402395,0.017014562539164668,0.022793471858733514,0.009222228398962043,0.009332400000489273
1_noise_4,0.01390195045729056,0.0,0.006110000781845951,0.015071345419533389,0.015397028809227198,0.015568870922032367,0.002614582799966241,0.007106694903325631,0.015338831288060135,0.015839936651130773,0.011914122313846785,0.003361296165108355,0.008803431555350632,0.011975029706515088,0.012138885509091901
1_noise_0.25,0.019596403136739615,0.006110000781845951,0.0,0.02014047471891988,0.020473699974550695,0.020730522221484728,0.00588287518256568,0.0015995910741549843,0.020497247624434414,0.021013841455597267,0.017174746794815638,0.004927760896870702,0.002704291528442622,0.017253591612007096,0.017436863690833426
1_shift_22050_-20,0.0017458410224757246,0.015071345419533389,0.02014047471891988,0.0,0.0016375870455194938,0.007152765013863431,0.015577705198479147,0.020812125164250784,0.006833165800924911,0.007720318645774039,0.009020102733254773,0.01699911826047743,0.02278273318845551,0.00917154817891265,0.009228623134940155
1_shift_22050_40,0.003044819892993318,0.015397028809227198,0.020473699974550695,0.0016375870455194938,0.0,0.006627702810952096,0.01590572922060528,0.02115192789360536,0.007014779009069737,0.006516937470399529,0.009597000678304787,0.017725483466956498,0.02354488121015581,0.009702559065833706,0.009017075750308643
2,0.0069821154569850805,0.015568870922032367,0.020730522221484728,0.007152765013863431,0.006627702810952096,0.0,0.013079260234938701,0.018092080394275623,0.0011817826553579085,0.0018332824216864907,0.008893298262005871,0.01784873210786969,0.023762961027211735,0.009048937781294921,0.00922637010645932
2_noise_4,0.01526801925976114,0.002614582799966241,0.00588287518256568,0.015577705198479147,0.01590572922060528,0.013079260234938701,0.0,0.005346106701464238,0.013604403579620762,0.01379847459848467,0.012378888499962775,0.002903380983591265,0.008232141946265642,0.012456299423908744,0.012629764775442476
2_noise_0.25,0.020483900269879195,0.007106694903325631,0.0015995910741549843,0.020812125164250784,0.02115192789360536,0.018092080394275623,0.005346106701464238,0.0,0.01821347415010415,0.018399141617500232,0.01789103443559794,0.00562766499673984,0.00208720050621662,0.017966056515700227,0.018161521134863363
2_shift_22050_-20,0.006963360276441608,0.015338831288060135,0.020497247624434414,0.006833165800924911,0.007014779009069737,0.0011817826553579085,0.013604403579620762,0.01821347415010415,0.0,0.0020166144969949794,0.008586611140513758,0.017573210812376613,0.02349346088999642,0.0087742814665712,0.00897006069240729
2_shift_22050_40,0.007376010952131096,0.015839936651130773,0.021013841455597267,0.007720318645774039,0.006516937470399529,0.0018332824216864907,0.01379847459848467,0.018399141617500232,0.0020166144969949794,0.0,0.009196916672357646,0.018176568641890573,0.024134315989982953,0.009358238537543126,0.008609262257122708
3,0.00904729414402395,0.011914122313846785,0.017174746794815638,0.009020102733254773,0.009597000678304787,0.008893298262005871,0.012378888499962775,0.01789103443559794,0.008586611140513758,0.009196916672357646,0.0,0.012623138657281272,0.01896084675780903,0.000921895503079797,0.0015336754872905226
3_noise_4,0.017014562539164668,0.003361296165108355,0.004927760896870702,0.01699911826047743,0.017725483466956498,0.01784873210786969,0.002903380983591265,0.00562766499673984,0.017573210812376613,0.018176568641890573,0.012623138657281272,0.0,0.006705046530353886,0.013264611801610319,0.013427172401550122
3_noise_0.25,0.022793471858733514,0.008803431555350632,0.002704291528442622,0.02278273318845551,0.02354488121015581,0.023762961027211735,0.008232141946265642,0.00208720050621662,0.02349346088999642,0.024134315989982953,0.01896084675780903,0.006705046530353886,0.0,0.019177644309364097,0.01936885812964277
3_shift_22050_-20,0.009222228398962043,0.011975029706515088,0.017253591612007096,0.00917154817891265,0.009702559065833706,0.009048937781294921,0.012456299423908744,0.017966056515700227,0.0087742814665712,0.009358238537543126,0.000921895503079797,0.013264611801610319,0.019177644309364097,0.0,0.0015838084689909532
3_shift_22050_40,0.009332400000489273,0.012138885509091901,0.017436863690833426,0.009228623134940155,0.009017075750308643,0.00922637010645932,0.012629764775442476,0.018161521134863363,0.00897006069240729,0.008609262257122708,0.0015336754872905226,0.013427172401550122,0.01936885812964277,0.0015838084689909532,0.0
